ID_TEXT,ID_TEXT,CIUDAD,TIPO,UNIVERSIDAD_EVALUADA_NACIONAL,PRESTIGIO DE LA INSTITUCIÓN,NIVEL ACADÉMICO,OFERTA ACADÉMICA (CARRERAS OFERTADAS),PROFESORES,PROGRAMAS DE BECAS,COSTO DE COLEGIATURA Y OPCIONES DE PAGO,"INSTALACIONES, AULAS Y LABORATORIOS",PLAN DE ESTUDIOS,AMBIENTE ESTUDIANTIL,ACREDITACIONES Y CERTIFICACIONES,UBICACIÓN DEL CAMPUS,MODALIDADES HÍBRIDAS (PRESENCIAL Y ONLINE),MODALIDADES ONLINE,VALORES INSTITUCIONALES
Entrevistado_85,Entrevistado_85,PUEBLA,Primera mención,OTRAS1,8.4,8.0,9.0,9.0,8.0,7.0,6.4,9.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_86,Entrevistado_86,CULIACÁN,Primera mención,TECMILENIO,9.0,8.0,7.8,9.0,6.4,5.8,10.0,6.5,7.7,3.0,7.5,7.3,4.0,6.9
Entrevistado_87,Entrevistado_87,GUADALAJARA,Primera mención,OTRAS1,6.0,10.0,7.0,8.0,10.0,5.8,6.4,6.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_88,Entrevistado_88,MORELIA,Primera mención,OTRAS1,9.0,8.0,10.0,8.0,6.4,1.0,6.4,6.5,7.7,8.0,7.5,7.3,7.3,6.9
Entrevistado_89,Entrevistado_89,ZAMORA,Primera mención,UNIVA,3.0,10.0,9.0,8.0,6.4,5.8,6.4,8.0,7.7,10.0,7.5,7.3,7.3,6.9
Entrevistado_90,Entrevistado_90,AGUASCALIENTES,Primera mención,OTRAS1,8.4,10.0,2.0,8.0,6.0,5.0,1.0,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_91,Entrevistado_91,COATZACOALCOS,Primera mención,OTRAS1,8.4,8.0,10.0,8.0,8.0,5.8,7.0,6.5,7.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_92,Entrevistado_92,COATZACOALCOS,Primera mención,OTRAS1,10.0,6.0,7.8,8.0,6.4,2.0,6.4,6.5,7.7,6.4,7.5,7.0,10.0,6.9
Entrevistado_93,Entrevistado_93,VILLAHERMOSA,Primera mención,UVM,8.4,10.0,1.0,7.0,6.4,1.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,10.0
Entrevistado_94,Entrevistado_94,VILLAHERMOSA,Primera mención,UVM,10.0,10.0,9.0,7.0,6.4,1.0,6.4,6.5,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_95,Entrevistado_95,VILLAHERMOSA,Primera mención,UAG,8.4,5.0,7.8,10.0,6.4,1.0,6.4,1.0,7.0,6.4,7.5,7.3,7.3,6.9
Entrevistado_96,Entrevistado_96,LEÓN,Primera mención,ITESM,8.4,7.0,10.0,6.0,6.4,1.0,6.4,6.5,7.7,6.4,7.5,8.0,7.3,6.9
Entrevistado_97,Entrevistado_97,LEÓN,Primera mención,LA SALLE,6.0,8.0,4.0,8.0,2.0,10.0,6.4,7.0,7.7,6.4,7.5,7.3,7.3,6.9
Entrevistado_98,Entrevistado_98,MORELIA,Primera mención,LA SALLE,8.4,8.0,7.8,8.0,6.4,4.0,6.4,1.0,7.7,6.4,5.0,7.3,8.0,6.9
Entrevistado_99,Entrevistado_99,MORELIA,Primera mención,LA SALLE,8.4,10.0,10.0,10.0,9.0,5.8,6.4,6.5,7.7,1.0,7.5,7.3,7.3,6.9
Entrevistado_100,Entrevistado_100,MONTERREY,Primera mención,ITESM,8.0,5.0,10.0,8.0,6.4,5.8,6.4,10.0,7.7,6.4,7.5,7.0,7.3,6.9
Entrevistado_101,Entrevistado_101,LEÓN,Primera mención,LA SALLE,8.0,8.0,4.0,10.0,6.4,5.8,6.4,6.0,7.7,6.4,7.5,7.3,7.3,1.0
